Time,Is_Day,Average_Wind_Speed_kmh,Average_Barometric_Pressure_hPa,Temperature_K,Density_kgm3,Solar_Radiation_Wm2,Wind_Power_Generated_W,Solar_Power_Generated_W
2025-03-08T15:00,1,8.3,1010.8,298.75,1.1786904589246112,732.0,22690.62298886666,146.4
2025-03-08T16:00,1,7.6,1010.2,298.75,1.1779908009553246,583.0,17409.850852001433,116.60000000000001
2025-03-08T17:00,1,6.8,1010.2,298.54999999999995,1.1787799423393175,387.0,12478.772014984539,77.4
2025-03-08T18:00,1,5.1,1009.7,297.84999999999997,1.1809654729006758,169.0,5274.242617349104,33.800000000000004
2025-03-08T19:00,0,3.6,1009.9,296.15,1.1879798763337535,14.0,1866.0744260513156,0.0
2025-03-08T20:00,0,4.8,1010.1,294.34999999999997,1.1954812795957732,0.0,4451.218021312244,0.0
2025-03-08T21:00,0,5.4,1010.2,293.15,1.2004937806085731,0.0,6364.342870605223,0.0
2025-03-08T22:00,0,6.0,1010.2,292.25,1.204190767443638,0.0,8757.122380837012,0.0
2025-03-08T23:00,0,6.1,1009.8,291.45,1.2070180244976967,0.0,9223.922286116574,0.0
2025-03-09T00:00,0,6.4,1009.6,290.75,1.2096843644611484,0.0,10676.388380946142,0.0
2025-03-09T01:00,0,7.4,1009.3,290.15,1.211825667957666,0.0,16532.848309545774,0.0
2025-03-09T02:00,0,7.8,1008.9,289.75,1.2130176669969532,0.0,19380.42555257646,0.0
2025-03-09T03:00,0,7.7,1008.4,289.54999999999995,1.2132539572800218,0.0,18648.17202421362,0.0
2025-03-09T04:00,0,8.7,1007.9,289.54999999999995,1.212652383520958,0.0,26884.778164357514,0.0
2025-03-09T05:00,0,9.9,1007.7,289.45,1.212830621439691,0.0,39620.332143391046,0.0
2025-03-09T06:00,0,11.0,1007.7,289.65,1.2119931758181202,0.0,54311.35083520241,0.0
2025-03-09T07:00,1,12.8,1007.5,289.54999999999995,1.2121711245137068,0.0,85586.68750085977,0.0
2025-03-09T08:00,1,13.7,1007.9,289.84999999999997,1.211397266339463,89.0,104872.26925496123,17.8
2025-03-09T09:00,1,13.6,1008.2,291.45,1.2051055380259237,297.0,102059.67524813517,59.400000000000006
2025-03-09T10:00,1,15.1,1008.5,293.65,1.1964328978948326,506.0,138685.66163632073,101.2
2025-03-09T11:00,1,18.2,1008.4,295.65,1.188221489363877,677.0,241170.36526789423,135.4
2025-03-09T12:00,1,17.6,1008.0,297.45,1.180562564413786,795.0,216690.25757447688,159.0
2025-03-09T13:00,1,16.1,1007.1,299.15,1.17280561777501,845.0,164784.37928106228,169.0
2025-03-09T14:00,1,16.9,1005.9,300.45,1.1663396735588134,825.0,189538.54270515463,165.0
2025-03-09T15:00,1,19.2,1005.1,300.95,1.1634758525656967,737.0,277251.20026923716,147.4
2025-03-09T16:00,1,18.8,1004.7,300.95,1.163012823672028,591.0,260177.9131270933,118.2
2025-03-09T17:00,1,17.6,1004.6,300.54999999999995,1.1644447584352338,393.0,213731.8616077522,78.60000000000001
2025-03-09T18:00,1,14.7,1004.6,299.84999999999997,1.1671631554034,172.0,124823.3828959257,34.4
2025-03-09T19:00,0,9.3,1004.8,298.54999999999995,1.1724788022792973,15.0,31751.64425244224,0.0
2025-03-09T20:00,0,8.1,1005.4,297.04999999999995,1.179103077727011,0.0,21096.927204735635,0.0
2025-03-09T21:00,0,8.4,1006.0,295.84999999999997,1.184592165141568,0.0,23638.455054139093,0.0
2025-03-09T22:00,0,8.0,1006.4,295.04999999999995,1.1882763619816386,0.0,20483.29376809834,0.0
2025-03-09T23:00,0,7.4,1006.4,294.25,1.1915070198901696,0.0,16255.642490889439,0.0
2025-03-10T00:00,0,4.3,1006.1,293.95,1.1923675087379495,0.0,3191.742707203255,0.0
2025-03-10T01:00,0,2.6,1006.0,293.04999999999995,1.1959105683573894,0.0,707.670549675637,0.0
2025-03-10T02:00,0,5.2,1005.9,292.04999999999995,1.1998861664808957,0.0,5680.184625497673,0.0
2025-03-10T03:00,0,5.1,1005.7,291.45,1.2021172779137783,0.0,5368.707488671677,0.0
2025-03-10T04:00,0,1.6,1005.5,291.15,1.2031166284567953,0.0,165.91286085581737,0.0
2025-03-10T05:00,0,1.9,1005.7,290.25,1.207087271827634,0.0,278.7480565269688,0.0
2025-03-10T06:00,0,3.7,1005.7,289.84999999999997,1.2087530814144238,0.0,2061.3661547127367,0.0
2025-03-10T07:00,1,4.7,1005.8,289.54999999999995,1.2101257737328897,0.0,4229.961936235496,0.0
2025-03-10T08:00,1,4.7,1006.2,289.75,1.2097714109746598,93.0,4228.7232707914,18.6
2025-03-10T09:00,1,5.9,1006.5,291.34999999999997,1.2034864518245063,305.0,8321.653245651845,61.0
2025-03-10T10:00,1,9.4,1006.9,293.54999999999995,1.1949416667846002,516.0,33415.09040620663,103.2
2025-03-10T11:00,1,13.4,1006.9,296.15,1.1844508738295438,687.0,95949.7444752419,137.4
2025-03-10T12:00,1,15.2,1006.4,298.25,1.1755270430936544,805.0,138987.50636190036,161.0
2025-03-10T13:00,1,21.5,1005.4,300.54999999999995,1.165372048706733,856.0,389935.11966532597,171.20000000000002
2025-03-10T14:00,1,28.7,1004.6,301.15,1.1621247622371227,836.0,924934.161664791,167.20000000000002
2025-03-10T15:00,1,28.3,1004.0,301.25,1.1610451430021083,746.0,885973.6127143203,149.20000000000002
2025-03-10T16:00,1,27.0,1003.7,301.04999999999995,1.1614693171241421,595.0,769682.1390568225,119.0
2025-03-10T17:00,1,24.2,1003.7,300.54999999999995,1.163401556879797,397.0,555121.58348701,79.4
2025-03-10T18:00,1,20.2,1004.4,299.65,1.1677096541796586,177.0,324042.0372187067,35.4
