Time,Is_Day,Average_Wind_Speed (m/s),Average_Barometric_Pressure (InHg),Temperature (K),Solar_Radiation (W/m²),Density (kg/m³),Wind_Power_Generated (W),Solar_Power_Generated (W)
2025-03-10T12:00,1,4.972222222222221,29.716019449885366,299.84999999999997,800.0,0.011691382700021194,48.3871276221838,160.0
2025-03-10T13:00,1,5.833333333333333,29.69239546542754,301.65,848.0,0.01161237902083989,77.60397357653599,169.60000000000002
2025-03-10T14:00,1,7.027777777777778,29.66581848291249,302.25,827.0,0.01157895381075509,135.311826834144,165.4
2025-03-10T15:00,1,7.5,29.64810049456912,302.34999999999997,725.0,0.011568210884990823,164.30938192393958,145.0
2025-03-10T16:00,1,7.361111111111111,29.639241500397436,302.04999999999995,539.0,0.011576240513044527,155.4569116117383,107.80000000000001
2025-03-10T17:00,1,6.583333333333333,29.636288502340207,301.45,358.0,0.01159812597642884,111.4134780710625,71.60000000000001
2025-03-10T18:00,1,5.416666666666667,29.642194498454664,300.65,143.0,0.011631304900501328,62.235351520242574,28.6
2025-03-10T19:00,0,4.25,29.66286548485526,299.34999999999997,15.0,0.01168996297955604,30.21289217029354,0.0
2025-03-10T20:00,0,3.3611111111111107,29.69239546542754,297.75,0.0,0.0117644807107854,15.039512028030586,0.0
2025-03-10T21:00,0,3.222222222222222,29.718972447942594,296.54999999999995,0.0,0.011822658823038205,13.316619695129658,0.0
2025-03-10T22:00,0,3.1111111111111107,29.721925445999823,295.75,0.0,0.011855816890423008,12.019611306921874,0.0
2025-03-10T23:00,0,3.2777777777777777,29.724878444057047,295.25,0.0,0.011877074400383505,14.081871317129965,0.0
2025-03-11T00:00,0,4.333333333333333,29.74259643240042,293.75,0.0,0.011944838961487595,32.72344110018817,0.0
2025-03-11T01:00,0,3.9722222222222223,29.757361422686557,292.65,0.0,0.011995688712763053,25.31268252264445,0.0
2025-03-11T02:00,0,3.3611111111111107,29.763267418801014,291.84999999999997,0.0,0.01203095783632468,15.380171852570811,0.0
2025-03-11T03:00,0,3.0,29.772126412972696,291.25,0.0,0.0120593310168008,10.962241241200502,0.0
2025-03-11T04:00,0,2.888888888888889,29.775079411029925,290.65,0.0,0.012085424152808734,9.809949855152702,0.0
2025-03-11T05:00,0,2.4722222222222223,29.78689140325884,290.04999999999995,0.0,0.012115228462321529,6.163203398676448,0.0
2025-03-11T06:00,0,1.972222222222222,29.79575039743052,289.65,0.0,0.012135567511162555,3.1342960054984452,0.0
2025-03-11T07:00,1,1.6944444444444442,29.813468385773888,289.25,1.0,0.012159575999419137,1.9916490292750693,0.2
2025-03-11T08:00,1,1.3333333333333333,29.831186374117255,289.34999999999997,92.0,0.012162597498032614,0.9706327020370079,18.400000000000002
2025-03-11T09:00,1,1.6944444444444442,29.85481035857508,290.95,281.0,0.012105291483143972,1.9827576251546237,56.2
2025-03-11T10:00,1,2.2777777777777777,29.863669352746765,293.04999999999995,473.0,0.012022111145308358,4.783295026276408,94.60000000000001
2025-03-11T11:00,1,1.8888888888888888,29.860716354689536,295.45,658.0,0.011923273988025009,2.7053728940279558,131.6
2025-03-11T12:00,1,1.8611111111111112,29.84299836634617,297.54999999999995,788.0,0.011832099047347463,2.56797668881663,157.60000000000002
2025-03-11T13:00,1,1.611111111111111,29.822327379945573,298.84999999999997,842.0,0.011772469372407099,1.6575110118146439,168.4
2025-03-11T14:00,1,1.2222222222222223,29.801656393544977,299.54999999999995,832.0,0.01173681813503417,0.7214616937269598,166.4
2025-03-11T15:00,1,1.0,29.78098540714438,299.84999999999997,733.0,0.011716942713873966,0.39448153669880526,146.6
2025-03-11T16:00,1,0.7222222222222222,29.763267418801014,299.75,564.0,0.011713878380421544,0.14856811972982428,112.80000000000001
2025-03-11T17:00,1,0.7777777777777777,29.757361422686557,299.34999999999997,334.0,0.011727203279739794,0.18576907548120256,66.8
2025-03-11T18:00,1,0.6944444444444444,29.760314420743786,298.84999999999997,134.0,0.011747989537094638,0.13246112813870023,26.8
2025-03-11T19:00,0,0.5277777777777778,29.763267418801014,297.34999999999997,15.0,0.011808424565432515,0.05844638235240315,0.0
2025-03-11T20:00,0,0.9722222222222222,29.78098540714438,295.45,0.0,0.011891437714520591,0.3679115067032237,0.0
2025-03-11T21:00,0,1.027777777777778,29.78689140325884,293.95,0.0,0.011954488911367099,0.43695937151432607,0.0
2025-03-11T22:00,0,1.0555555555555556,29.78689140325884,293.04999999999995,0.0,0.011991202919284625,0.4748084229541534,0.0
2025-03-11T23:00,0,1.4166666666666665,29.778032409087153,292.45,0.0,0.01201223081341933,1.1498443862109322,0.0
2025-03-12T00:00,0,1.6944444444444442,29.769173414915468,291.84999999999997,0.0,0.012033345167971929,1.9709733484019507,0.0
